80 100 120 140 180 200 220 220 200 200 200 200 180 140 120 80 60 60 60 60 60 60 80 120 160 200 220 220 220 220 240 240
100 120 140 180 200 220 220 220 200 200 180 180 160 120 80 60 40 60 80 80 80 100 120 160 200 220 240 220 220 220 220 200
120 140 160 200 220 220 220 200 180 160 160 140 120 100 60 40 60 80 100 120 120 120 160 180 220 240 240 220 200 180 180 160
160 160 180 200 220 220 200 180 140 120 120 120 100 80 60 60 80 100 140 160 160 160 180 200 220 240 220 180 160 140 120 120
180 180 200 200 200 200 160 140 100 100 80 80 80 80 60 80 100 140 180 200 200 200 200 220 220 220 180 140 100 80 80 80
200 200 180 180 180 160 120 100 60 60 60 80 80 80 100 100 140 180 220 240 220 220 200 200 200 180 140 100 60 40 60 60
220 200 180 160 140 120 100 60 40 40 60 80 100 100 120 140 180 220 240 240 240 220 200 180 180 140 120 60 40 20 40 60
200 180 160 140 120 100 80 40 40 40 60 100 120 140 160 180 200 240 240 240 220 200 160 160 140 120 80 40 20 20 40 80
180 140 120 100 100 80 60 60 40 60 100 140 160 180 180 200 220 240 240 220 200 160 120 120 100 100 80 40 40 40 80 120
140 120 100 80 80 80 80 60 80 100 140 180 200 200 200 200 200 220 200 180 140 120 80 80 80 80 80 60 60 80 120 160
100 80 80 80 80 100 100 100 120 140 180 200 220 220 200 200 180 180 160 140 100 60 60 60 80 80 100 100 100 140 180 200
60 60 60 80 100 120 140 140 160 180 220 240 240 220 200 160 160 140 120 100 60 40 40 60 80 100 120 140 140 180 220 240
40 40 60 100 120 160 180 180 200 220 240 240 240 200 180 140 120 100 100 60 40 20 40 60 100 140 160 180 180 200 240 260
40 60 80 120 160 180 200 200 220 220 240 240 220 180 140 100 80 80 60 60 40 40 60 80 140 180 200 200 200 220 240 240
60 80 100 140 180 220 220 220 220 220 220 200 180 140 100 80 60 60 60 60 60 60 80 120 180 200 220 220 220 220 220 220
100 120 140 180 200 220 220 220 200 180 180 160 140 100 80 60 60 60 80 100 100 100 140 180 200 220 240 220 200 180 180 180
140 160 180 200 220 220 220 180 160 140 140 120 100 80 60 40 60 80 120 140 140 160 180 200 240 240 220 200 180 160 140 140
180 180 200 220 220 220 180 160 120 100 100 80 80 60 40 60 80 120 160 180 180 200 200 220 240 240 220 180 140 120 100 100
220 220 220 220 200 180 160 120 80 60 60 60 60 60 60 80 120 160 200 220 220 220 220 220 220 220 180 140 100 80 60 60
240 220 200 200 180 160 120 80 60 40 40 60 80 80 80 120 140 180 220 240 240 220 220 220 200 180 140 100 60 40 40 60
220 200 180 180 160 120 100 60 40 40 60 80 100 100 120 140 180 220 240 240 220 200 180 180 160 140 100 60 40 40 60 80
200 160 140 140 120 100 80 60 40 60 80 120 140 140 160 180 200 240 240 240 200 180 140 140 120 100 80 60 40 40 80 100
140 120 100 100 100 80 80 60 60 80 120 160 180 180 200 200 220 220 220 200 160 120 100 80 80 80 60 60 60 80 100 140
100 80 60 80 80 80 80 80 100 120 160 200 220 220 220 220 220 200 200 160 120 80 60 60 60 60 60 60 80 100 140 180
60 40 40 60 80 100 100 120 140 160 200 220 240 240 220 200 180 180 160 120 80 60 40 40 60 80 80 100 120 140 180 220
40 40 40 60 100 120 140 140 160 200 220 240 240 220 200 180 160 140 120 100 60 40 40 40 80 100 120 120 140 180 220 240
40 40 60 80 120 140 160 180 180 220 240 240 240 200 160 140 120 100 100 80 60 40 40 80 100 140 160 160 180 200 220 240
60 60 80 120 160 180 200 200 200 220 220 220 200 160 120 100 80 80 80 60 60 60 80 120 160 180 200 200 200 220 220 220
100 100 120 160 180 200 220 200 200 200 200 180 160 120 80 60 60 60 80 80 80 100 120 160 200 220 220 220 220 200 200 180
140 140 160 200 220 220 220 200 180 160 160 140 120 80 60 40 40 60 80 100 120 140 160 200 220 240 240 220 200 180 180 160
180 180 200 220 240 240 220 180 160 140 120 100 80 60 40 40 60 80 120 140 160 180 200 220 240 260 240 200 180 160 140 120
200 200 220 220 240 220 200 160 120 100 100 80 80 60 40 40 80 120 140 180 180 200 220 220 240 240 220 180 140 120 100 100
